lr_domain,domain_loss_weight,radius_loss_weight,radius_margin,alpha,oa,aa,oa_known,aa_known,unknown,hos
0.0005,0.1,1.0,0.05,0.01,0.5471461415290833,0.6075773239135742,0.6267672181129456,0.6475998163223267,0.3274204432964325,0.43493950366973877
0.0005,0.1,1.0,0.1,0.01,0.5405383110046387,0.4325979948043823,0.6293497085571289,0.45219048857688904,0.2954506576061249,0.3573906719684601
0.0005,0.1,1.5,0.01,0.01,0.5568756461143494,0.5202237367630005,0.6736783385276794,0.5610354542732239,0.23454196751117706,0.3307946026325226
0.0005,0.1,1.5,0.05,0.01,0.5471461415290833,0.6075773239135742,0.6267672181129456,0.6475998163223267,0.3274204432964325,0.43493950366973877
0.0005,0.1,1.5,0.1,0.01,0.5405383110046387,0.4325979948043823,0.6293497085571289,0.45219048857688904,0.2954506576061249,0.3573906719684601
0.0005,0.5,0.5,0.01,0.01,0.5073981285095215,0.4605585038661957,0.4831031858921051,0.4442892372608185,0.574443519115448,0.5010520219802856
0.0005,0.5,0.5,0.05,0.01,0.5593040585517883,0.64707350730896,0.6655908823013306,0.701513946056366,0.2659904956817627,0.3857264816761017
0.0005,0.5,0.5,0.1,0.01,0.5438560843467712,0.5318707227706909,0.5467397570610046,0.5312954783439636,0.5358980894088745,0.5335869193077087
0.0005,0.5,1.0,0.01,0.01,0.5073981285095215,0.4605585038661957,0.4831031858921051,0.4442892372608185,0.574443519115448,0.5010520219802856
0.0005,0.5,1.0,0.05,0.01,0.5593040585517883,0.64707350730896,0.6655908823013306,0.701513946056366,0.2659904956817627,0.3857264816761017
0.0005,0.5,1.0,0.1,0.01,0.5438560843467712,0.5318707227706909,0.5467397570610046,0.5312954783439636,0.5358980894088745,0.5335869193077087
0.0005,0.5,1.5,0.01,0.01,0.5073981285095215,0.4605585038661957,0.4831031858921051,0.4442892372608185,0.574443519115448,0.5010520219802856
0.0005,0.5,1.5,0.05,0.01,0.5593040585517883,0.64707350730896,0.6655908823013306,0.701513946056366,0.2659904956817627,0.3857264816761017
0.0005,0.5,1.5,0.1,0.01,0.5438560843467712,0.5318707227706909,0.5467397570610046,0.5312954783439636,0.5358980894088745,0.5335869193077087
0.0005,1.0,0.5,0.01,0.01,0.4976983666419983,0.5237411856651306,0.5491684675216675,0.5477529764175415,0.3556593060493469,0.4312835931777954
0.0005,1.0,0.5,0.05,0.01,0.5621345639228821,0.6263325214385986,0.6512832641601562,0.6706492900848389,0.31611597537994385,0.4296927750110626
0.0005,1.0,0.5,0.1,0.01,0.4443049132823944,0.5479862093925476,0.4135514497756958,0.5506737232208252,0.5291734337806702,0.5397095680236816
0.0005,1.0,1.0,0.01,0.01,0.4976983666419983,0.5237411856651306,0.5491684675216675,0.5477529764175415,0.3556593060493469,0.4312835931777954
0.0005,1.0,1.0,0.05,0.01,0.5621345639228821,0.6263325214385986,0.6512832641601562,0.6706492900848389,0.31611597537994385,0.4296927750110626
0.0005,1.0,1.0,0.1,0.01,0.4443049132823944,0.5479862093925476,0.4135514497756958,0.5506737232208252,0.5291734337806702,0.5397095680236816
0.0005,1.0,1.5,0.01,0.01,0.4976983666419983,0.5237411856651306,0.5491684675216675,0.5477529764175415,0.3556593060493469,0.4312835931777954
0.0005,1.0,1.5,0.05,0.01,0.5621345639228821,0.6263325214385986,0.6512832641601562,0.6706492900848389,0.31611597537994385,0.4296927750110626
0.0005,1.0,1.5,0.1,0.01,0.4443049132823944,0.5479862093925476,0.4135514497756958,0.5506737232208252,0.5291734337806702,0.5397095680236816
